"QuizTitle","Category","QuestionImgKey","QuestionText","AnswerText","IsCorrect","ImageFiles"
"Basic Networking","Networking","N10-009_Q004","A network engineer performed a migration to a new mail server. The engineer changed the MX record verified the change was accurate and confirmed the new mail server was reachable via the IP address in the A record. However users are not receiving email. Which of the following should the engineer have done to prevent the issue from occurring?","Perform a DNS zone transfer prior to the MX record change.","FALSE",""
"Basic Networking","Networking","N10-009_Q004","A network engineer performed a migration to a new mail server. The engineer changed the MX record verified the change was accurate and confirmed the new mail server was reachable via the IP address in the A record. However users are not receiving email. Which of the following should the engineer have done to prevent the issue from occurring?","Update the NS record to reflect the IP address change.","FALSE",""
"Basic Networking","Networking","N10-009_Q005","Which of the following IP transmission types encrypts all of the transmitted data?","ESP","TRUE",""
"Basic Networking","Networking","N10-009_Q005","Which of the following IP transmission types encrypts all of the transmitted data?","AH","FALSE",""
"Basic Networking","Networking","N10-009_Q005","Which of the following IP transmission types encrypts all of the transmitted data?","GRE","FALSE",""
"Basic Networking","Networking","N10-009_Q005","Which of the following IP transmission types encrypts all of the transmitted data?","UDP","FALSE",""
"Basic Networking","Networking","N10-009_Q005","Which of the following IP transmission types encrypts all of the transmitted data?","TCP","FALSE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","Mesh network","FALSE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","5GHz frequency","TRUE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","Omnidirectional antenna","FALSE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","Non-overlapping channel","FALSE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","Captive portal","FALSE",""
"Basic Networking","Networking","N10-009_Q006","A network administrator notices interference with industrial equipment in the 2.4GHz range. Which of the following technologies would most likely mitigate this issue? (Select two).","Ad hoc network","FALSE",""
"Basic Networking","Networking","N10-009_Q007","Which of the following disaster recovery metrics is used to describe the amount of data that is lost since the last backup?","MTTR","FALSE",""
"Basic Networking","Networking","N10-009_Q007","Which of the following disaster recovery metrics is used to describe the amount of data that is lost since the last backup?","RTO","FALSE",""
"Basic Networking","Networking","N10-009_Q007","Which of the following disaster recovery metrics is used to describe the amount of data that is lost since the last backup?","RPO","TRUE",""
"Basic Networking","Networking","N10-009_Q007","Which of the following disaster recovery metrics is used to describe the amount of data that is lost since the last backup?","MTBF","FALSE",""
"Basic Networking","Networking","N10-009_Q008","Which of the following can support a jumbo frame?","Access point","FALSE",""
"Basic Networking","Networking","N10-009_Q008","Which of the following can support a jumbo frame?","Bridge","FALSE",""
"Basic Networking","Networking","N10-009_Q008","Which of the following can support a jumbo frame?","Hub","FALSE",""
"Basic Networking","Networking","N10-009_Q008","Which of the following can support a jumbo frame?","Switch","TRUE",""
"Basic Networking","Networking","N10-009_Q009","Which of the following is created to illustrate the effectiveness of wireless networking coverage in a building?","Logical diagram","FALSE",""
"Basic Networking","Networking","N10-009_Q009","Which of the following is created to illustrate the effectiveness of wireless networking coverage in a building?","Layer 3 network diagram","FALSE",""
"Basic Networking","Networking","N10-009_Q009","Which of the following is created to illustrate the effectiveness of wireless networking coverage in a building?","Service-level agreement","FALSE",""
"Basic Networking","Networking","N10-009_Q009","Which of the following is created to illustrate the effectiveness of wireless networking coverage in a building?","Heat map","TRUE",""
"Basic Networking","Networking","N10-009_Q010","A user is unable to navigate to a website because the provided URL is not resolving to the correct IP address. Other users are able to navigate to the intended website without issue. Which of the following is most likely causing this issue?","Hosts file","TRUE",""
"Basic Networking","Networking","N10-009_Q010","A user is unable to navigate to a website because the provided URL is not resolving to the correct IP address. Other users are able to navigate to the intended website without issue. Which of the following is most likely causing this issue?","Self-signed certificate","FALSE",""
"Basic Networking","Networking","N10-009_Q010","A user is unable to navigate to a website because the provided URL is not resolving to the correct IP address. Other users are able to navigate to the intended website without issue. Which of the following is most likely causing this issue?","Nameserver record","FALSE",""
"Basic Networking","Networking","N10-009_Q010","A user is unable to navigate to a website because the provided URL is not resolving to the correct IP address. Other users are able to navigate to the intended website without issue. Which of the following is most likely causing this issue?","IP helper","FALSE",""
"Basic Networking","Networking","N10-009_Q011","An IT manager needs to connect ten sites in a mesh network. Each needs to be secured with reduced provisioning time. Which of the following technologies will best meet this requirement?","SD-WAN","TRUE",""
"Basic Networking","Networking","N10-009_Q011","An IT manager needs to connect ten sites in a mesh network. Each needs to be secured with reduced provisioning time. Which of the following technologies will best meet this requirement?","VXLAN","FALSE",""
"Basic Networking","Networking","N10-009_Q011","An IT manager needs to connect ten sites in a mesh network. Each needs to be secured with reduced provisioning time. Which of the following technologies will best meet this requirement?","VPN","FALSE",""
"Basic Networking","Networking","N10-009_Q011","An IT manager needs to connect ten sites in a mesh network. Each needs to be secured with reduced provisioning time. Which of the following technologies will best meet this requirement?","NFV","FALSE",""
"Basic Networking","Networking","N10-009_Q012","After installing a series of Cat 8 keystones a data center architect notices higher than normal interference during tests. Which of the following steps should the architect take to troubleshoot the issue?","Check to see if the end connections were wrapped in copper tape before terminating.","TRUE",""
"Basic Networking","Networking","N10-009_Q012","After installing a series of Cat 8 keystones a data center architect notices higher than normal interference during tests. Which of the following steps should the architect take to troubleshoot the issue?","Use passthrough modular crimping plugs instead of traditional crimping plugs.","FALSE",""
"Basic Networking","Networking","N10-009_Q012","After installing a series of Cat 8 keystones a data center architect notices higher than normal interference during tests. Which of the following steps should the architect take to troubleshoot the issue?","Connect the RX/TX wires to different pins.","FALSE",""
"Basic Networking","Networking","N10-009_Q012","After installing a series of Cat 8 keystones a data center architect notices higher than normal interference during tests. Which of the following steps should the architect take to troubleshoot the issue?","Run a speed test on a device that can only achieve 100Mbps speeds.","FALSE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","KVM size","FALSE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","Switch depth","TRUE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","Hard drive size","FALSE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","Cooling fan speed","FALSE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","Outlet amperage","FALSE",""
"Basic Networking","Networking","N10-009_Q013","Which of the following most likely determines the size of a rack for installation? (Select two).","Server height","TRUE",""
"Basic Networking","Networking","N10-009_Q014","A VoIP phone is plugged in to a port but cannot receive calls. Which of the following needs to be done on the port to address the issue?","Trunk all VLANs on the port.","FALSE",""
"Basic Networking","Networking","N10-009_Q014","A VoIP phone is plugged in to a port but cannot receive calls. Which of the following needs to be done on the port to address the issue?","Configure the native VLAN.","FALSE",""
"Basic Networking","Networking","N10-009_Q014","A VoIP phone is plugged in to a port but cannot receive calls. Which of the following needs to be done on the port to address the issue?","Tag the traffic to voice VLAN.","TRUE",""
"Basic Networking","Networking","N10-009_Q014","A VoIP phone is plugged in to a port but cannot receive calls. Which of the following needs to be done on the port to address the issue?","Disable VLANs.","FALSE",""
"Basic Networking","Networking","N10-009_Q015","As part of an attack a threat actor purposefully overflows the content-addressable memory (CAM) table on a switch. Which of the following types of attacks is this scenario an example of?","ARP spoofing","FALSE",""
"Basic Networking","Networking","N10-009_Q015","As part of an attack a threat actor purposefully overflows the content-addressable memory (CAM) table on a switch. Which of the following types of attacks is this scenario an example of?","Evil twin","FALSE",""
"Basic Networking","Networking","N10-009_Q015","As part of an attack a threat actor purposefully overflows the content-addressable memory (CAM) table on a switch. Which of the following types of attacks is this scenario an example of?","MAC flooding","TRUE",""
"Basic Networking","Networking","N10-009_Q015","As part of an attack a threat actor purposefully overflows the content-addressable memory (CAM) table on a switch. Which of the following types of attacks is this scenario an example of?","DNS poisoning","FALSE",""
"Basic Networking","Networking","N10-009_Q016","A network manager wants to implement a SIEM system to correlate system events. Which of the following protocols should the network manager verify?","NTP","TRUE",""
"Basic Networking","Networking","N10-009_Q016","A network manager wants to implement a SIEM system to correlate system events. Which of the following protocols should the network manager verify?","DNS","FALSE",""
"Basic Networking","Networking","N10-009_Q016","A network manager wants to implement a SIEM system to correlate system events. Which of the following protocols should the network manager verify?","LDAP","FALSE",""
"Basic Networking","Networking","N10-009_Q016","A network manager wants to implement a SIEM system to correlate system events. Which of the following protocols should the network manager verify?","DHCP","FALSE",""
"Basic Networking","Networking","N10-009_Q017","A network engineer is designing a secure communication link between two sites. The entire data stream needs to remain confidential. Which of the following will achieve this goal?","GRE","FALSE",""
"Basic Networking","Networking","N10-009_Q017","A network engineer is designing a secure communication link between two sites. The entire data stream needs to remain confidential. Which of the following will achieve this goal?","IKE","FALSE",""
"Basic Networking","Networking","N10-009_Q017","A network engineer is designing a secure communication link between two sites. The entire data stream needs to remain confidential. Which of the following will achieve this goal?","ESP","TRUE",""
"Basic Networking","Networking","N10-009_Q017","A network engineer is designing a secure communication link between two sites. The entire data stream needs to remain confidential. Which of the following will achieve this goal?","AH","FALSE",""
"Basic Networking","Networking","N10-009_Q018","Which of the following routing protocols uses an autonomous system number?","IS-IS","FALSE",""
"Basic Networking","Networking","N10-009_Q018","Which of the following routing protocols uses an autonomous system number?","EIGRP","FALSE",""
"Basic Networking","Networking","N10-009_Q018","Which of the following routing protocols uses an autonomous system number?","OSPF","FALSE",""
"Basic Networking","Networking","N10-009_Q018","Which of the following routing protocols uses an autonomous system number?","BGP","TRUE",""
"Basic Networking","Networking","N10-009_Q019","Which of the following is the most secure way to provide site-to-site connectivity?","VXLAN","FALSE",""
"Basic Networking","Networking","N10-009_Q019","Which of the following is the most secure way to provide site-to-site connectivity?","IKE","FALSE",""
"Basic Networking","Networking","N10-009_Q019","Which of the following is the most secure way to provide site-to-site connectivity?","GRE","FALSE",""
"Basic Networking","Networking","N10-009_Q019","Which of the following is the most secure way to provide site-to-site connectivity?","IPsec","TRUE",""
"Basic Networking","Networking","N10-009_Q020","A network administrator needs to connect two routers in a point-to-point configuration and conserve IP space. Which of the following subnets should the administrator use?","/24","FALSE",""
"Basic Networking","Networking","N10-009_Q020","A network administrator needs to connect two routers in a point-to-point configuration and conserve IP space. Which of the following subnets should the administrator use?","/26","FALSE",""
"Basic Networking","Networking","N10-009_Q020","A network administrator needs to connect two routers in a point-to-point configuration and conserve IP space. Which of the following subnets should the administrator use?","/28","FALSE",""
"Basic Networking","Networking","N10-009_Q020","A network administrator needs to connect two routers in a point-to-point configuration and conserve IP space. Which of the following subnets should the administrator use?","/30","TRUE",""
"Basic Networking","Networking","N10-009_Q021","To reduce costs and increase mobility a Chief Technology Officer (CTO) wants to adopt cloud services for the organization and its affiliates. To reduce the impact for users the CTO wants key services to run from the on-site data center and enterprise services to run in the cloud. Which of the following deployment models is the best choice for the organization?","Public","FALSE",""
"Basic Networking","Networking","N10-009_Q021","To reduce costs and increase mobility a Chief Technology Officer (CTO) wants to adopt cloud services for the organization and its affiliates. To reduce the impact for users the CTO wants key services to run from the on-site data center and enterprise services to run in the cloud. Which of the following deployment models is the best choice for the organization?","Hybrid","TRUE",""
"Basic Networking","Networking","N10-009_Q021","To reduce costs and increase mobility a Chief Technology Officer (CTO) wants to adopt cloud services for the organization and its affiliates. To reduce the impact for users the CTO wants key services to run from the on-site data center and enterprise services to run in the cloud. Which of the following deployment models is the best choice for the organization?","SaaS","FALSE",""
"Basic Networking","Networking","N10-009_Q021","To reduce costs and increase mobility a Chief Technology Officer (CTO) wants to adopt cloud services for the organization and its affiliates. To reduce the impact for users the CTO wants key services to run from the on-site data center and enterprise services to run in the cloud. Which of the following deployment models is the best choice for the organization?","Private","FALSE",""
"Basic Networking","Networking","N10-009_Q022","A technician is troubleshooting a user's laptop that is unable to connect to a corporate server. The technician thinks the issue pertains to routing. Which of the following commands should the technician use to identify the issue?","tcpdump","FALSE",""
"Basic Networking","Networking","N10-009_Q022","A technician is troubleshooting a user's laptop that is unable to connect to a corporate server. The technician thinks the issue pertains to routing. Which of the following commands should the technician use to identify the issue?","dig","FALSE",""
"Basic Networking","Networking","N10-009_Q022","A technician is troubleshooting a user's laptop that is unable to connect to a corporate server. The technician thinks the issue pertains to routing. Which of the following commands should the technician use to identify the issue?","tracert","TRUE",""
"Basic Networking","Networking","N10-009_Q022","A technician is troubleshooting a user's laptop that is unable to connect to a corporate server. The technician thinks the issue pertains to routing. Which of the following commands should the technician use to identify the issue?","arp","FALSE",""
"Basic Networking","Networking","N10-009_Q023","Which of the following fiber connector types is the most likely to be used on a network interface card?","LC","TRUE",""
"Basic Networking","Networking","N10-009_Q023","Which of the following fiber connector types is the most likely to be used on a network interface card?","SC","FALSE",""
"Basic Networking","Networking","N10-009_Q023","Which of the following fiber connector types is the most likely to be used on a network interface card?","ST","FALSE",""
"Basic Networking","Networking","N10-009_Q023","Which of the following fiber connector types is the most likely to be used on a network interface card?","MPO","FALSE",""
"Basic Networking","Networking","N10-009_Q024","A network engineer receives a vendor alert regarding a vulnerability in a router CPU. Which of the following should the engineer do to resolve the issue?","Update the firmware.","TRUE",""
"Basic Networking","Networking","N10-009_Q024","A network engineer receives a vendor alert regarding a vulnerability in a router CPU. Which of the following should the engineer do to resolve the issue?","Replace the system board.","FALSE",""
"Basic Networking","Networking","N10-009_Q024","A network engineer receives a vendor alert regarding a vulnerability in a router CPU. Which of the following should the engineer do to resolve the issue?","Patch the OS.","FALSE",""
"Basic Networking","Networking","N10-009_Q024","A network engineer receives a vendor alert regarding a vulnerability in a router CPU. Which of the following should the engineer do to resolve the issue?","Isolate the system.","FALSE",""
"Basic Networking","Networking","N10-009_Q025","A virtual machine has the following configuration: IPv4 address: 169.254.10.10 Subnet mask: 255.255.0.0","The subnet mask is incorrect.","FALSE",""
"Basic Networking","Networking","N10-009_Q025","A virtual machine has the following configuration: IPv4 address: 169.254.10.10 Subnet mask: 255.255.0.0","The DHCP server is offline.","TRUE",""
"Basic Networking","Networking","N10-009_Q025","A virtual machine has the following configuration: IPv4 address: 169.254.10.10 Subnet mask: 255.255.0.0","The IP address is an RFC1918 private address.","FALSE",""
"Basic Networking","Networking","N10-009_Q025","A virtual machine has the following configuration: IPv4 address: 169.254.10.10 Subnet mask: 255.255.0.0","TheDNS server is unreachable.","FALSE",""
"Basic Networking","Networking","N10-009_Q026","A network technician is troubleshooting a web application's poor performance. The office has two internet links that share the traffic load. Which of the following tools should the technician use to determine which link is being used for the web application?","netstat","FALSE",""
"Basic Networking","Networking","N10-009_Q026","A network technician is troubleshooting a web application's poor performance. The office has two internet links that share the traffic load. Which of the following tools should the technician use to determine which link is being used for the web application?","nslookup","FALSE",""
"Basic Networking","Networking","N10-009_Q026","A network technician is troubleshooting a web application's poor performance. The office has two internet links that share the traffic load. Which of the following tools should the technician use to determine which link is being used for the web application?","ping","FALSE",""
"Basic Networking","Networking","N10-009_Q026","A network technician is troubleshooting a web application's poor performance. The office has two internet links that share the traffic load. Which of the following tools should the technician use to determine which link is being used for the web application?","tracert","TRUE",""
"Basic Networking","Networking","N10-009_Q027","A network administrator configured a router interface as 10.0.0.95 255.255.255.240. The administrator discovers that the router is not routing packets to a web server with IP 10.0.0.81. Which of the following is the best explanation?","The web server Is In adifferent subnet.","FALSE",""
"Basic Networking","Networking","N10-009_Q027","A network administrator configured a router interface as 10.0.0.95 255.255.255.240. The administrator discovers that the router is not routing packets to a web server with IP 10.0.0.81. Which of the following is the best explanation?","The router interface isa broadcast address.","TRUE",""
"Basic Networking","Networking","N10-009_Q027","A network administrator configured a router interface as 10.0.0.95 255.255.255.240. The administrator discovers that the router is not routing packets to a web server with IP 10.0.0.81. Which of the following is the best explanation?","The IP address spaceis a class A network.","FALSE",""
"Basic Networking","Networking","N10-009_Q027","A network administrator configured a router interface as 10.0.0.95 255.255.255.240. The administrator discovers that the router is not routing packets to a web server with IP 10.0.0.81. Which of the following is the best explanation?","The subnet is in a private address space.","FALSE",""
"Basic Networking","Networking","N10-009_Q028","Which of the following does a full-tunnel VPN provide?","Lower bandwidth requirements","FALSE",""
"Basic Networking","Networking","N10-009_Q028","Which of the following does a full-tunnel VPN provide?","The ability to reset local computer passwords","FALSE",""
"Basic Networking","Networking","N10-009_Q028","Which of the following does a full-tunnel VPN provide?","Corporate Inspection of all network traffic","TRUE",""
"Basic Networking","Networking","N10-009_Q028","Which of the following does a full-tunnel VPN provide?","Access to blocked sites","FALSE",""
"Basic Networking","Networking","N10-009_Q029","A customer is adding fiber connectivity between adjacent buildings. A technician terminates the multimode cable to the fiber patch panel. After the technician connects the fiber patch cable the indicator light does not turn on. Which of the following should a technician try first to troubleshoot this issue?","Reverse the fibers.","TRUE",""
"Basic Networking","Networking","N10-009_Q029","A customer is adding fiber connectivity between adjacent buildings. A technician terminates the multimode cable to the fiber patch panel. After the technician connects the fiber patch cable the indicator light does not turn on. Which of the following should a technician try first to troubleshoot this issue?","Reterminate the fibers.","FALSE",""
"Basic Networking","Networking","N10-009_Q029","A customer is adding fiber connectivity between adjacent buildings. A technician terminates the multimode cable to the fiber patch panel. After the technician connects the fiber patch cable the indicator light does not turn on. Which of the following should a technician try first to troubleshoot this issue?","Verify the fiber size.","FALSE",""
"Basic Networking","Networking","N10-009_Q029","A customer is adding fiber connectivity between adjacent buildings. A technician terminates the multimode cable to the fiber patch panel. After the technician connects the fiber patch cable the indicator light does not turn on. Which of the following should a technician try first to troubleshoot this issue?","Examine the cable runs for visual faults.","FALSE",""
"Basic Networking","Networking","N10-009_Q030","Which of the following protocols has a default administrative distance value of 90?","RIP","FALSE",""
"Basic Networking","Networking","N10-009_Q030","Which of the following protocols has a default administrative distance value of 90?","EIGRP","TRUE",""
"Basic Networking","Networking","N10-009_Q030","Which of the following protocols has a default administrative distance value of 90?","OSPF","FALSE",""
"Basic Networking","Networking","N10-009_Q030","Which of the following protocols has a default administrative distance value of 90?","BGP","FALSE",""
"Basic Networking","Networking","N10-009_Q031","Which of the following is a cost-effective advantage of a split-tunnel VPN?","Web traffic is filtered through a web filter.","FALSE",""
"Basic Networking","Networking","N10-009_Q031","Which of the following is a cost-effective advantage of a split-tunnel VPN?","More bandwidth is required on the company's internet connection.","FALSE",""
"Basic Networking","Networking","N10-009_Q031","Which of the following is a cost-effective advantage of a split-tunnel VPN?","Monitoring detects insecure machines on the company's network.","FALSE",""
"Basic Networking","Networking","N10-009_Q031","Which of the following is a cost-effective advantage of a split-tunnel VPN?","Cloud-based traffic flows outside of the company's network.","TRUE",""
"Basic Networking","Networking","N10-009_Q032","Which of the following should be configured so users can authenticate to a wireless network using company credentials?","SSO","FALSE",""
"Basic Networking","Networking","N10-009_Q032","Which of the following should be configured so users can authenticate to a wireless network using company credentials?","SAML","FALSE",""
"Basic Networking","Networking","N10-009_Q032","Which of the following should be configured so users can authenticate to a wireless network using company credentials?","MFA","FALSE",""
"Basic Networking","Networking","N10-009_Q032","Which of the following should be configured so users can authenticate to a wireless network using company credentials?","RADIUS","TRUE",""
"Basic Networking","Networking","N10-009_Q033","Which of the following is most likely responsible for the security and handling of personal data in Europe?","GDPR","TRUE",""
"Basic Networking","Networking","N10-009_Q033","Which of the following is most likely responsible for the security and handling of personal data in Europe?","SCADA","FALSE",""
"Basic Networking","Networking","N10-009_Q033","Which of the following is most likely responsible for the security and handling of personal data in Europe?","SAML","FALSE",""
"Basic Networking","Networking","N10-009_Q033","Which of the following is most likely responsible for the security and handling of personal data in Europe?","PCI DSS","FALSE",""
"Basic Networking","Networking","N10-009_Q034","Users cannot connect to an internal website with an IP address 10.249.3.76. A network administrator runs a command and receives the following output: 1 3ms 2ms 3ms 192.168.25.234 2 2ms 3ms 1ms 192.168.3.100 3 4ms 5ms 2ms 10.249.3.1 4 * 5 6 * 7 Which of the following command-line tools is the network administrator using?","tracert","TRUE",""
"Basic Networking","Networking","N10-009_Q034","Users cannot connect to an internal website with an IP address 10.249.3.76. A network administrator runs a command and receives the following output: 1 3ms 2ms 3ms 192.168.25.234 2 2ms 3ms 1ms 192.168.3.100 3 4ms 5ms 2ms 10.249.3.1 4 * 5 6 * 7 Which of the following command-line tools is the network administrator using?","netstat","FALSE",""
"Basic Networking","Networking","N10-009_Q034","Users cannot connect to an internal website with an IP address 10.249.3.76. A network administrator runs a command and receives the following output: 1 3ms 2ms 3ms 192.168.25.234 2 2ms 3ms 1ms 192.168.3.100 3 4ms 5ms 2ms 10.249.3.1 4 * 5 6 * 7 Which of the following command-line tools is the network administrator using?","tcpdump","FALSE",""
"Basic Networking","Networking","N10-009_Q034","Users cannot connect to an internal website with an IP address 10.249.3.76. A network administrator runs a command and receives the following output: 1 3ms 2ms 3ms 192.168.25.234 2 2ms 3ms 1ms 192.168.3.100 3 4ms 5ms 2ms 10.249.3.1 4 * 5 6 * 7 Which of the following command-line tools is the network administrator using?","nmap","FALSE",""
"Basic Networking","Networking","N10-009_Q035","Which of the following attacks would most likely cause duplicate IP addresses in a network?","Rogue DHCP server","TRUE",""
"Basic Networking","Networking","N10-009_Q035","Which of the following attacks would most likely cause duplicate IP addresses in a network?","DNS poisoning","FALSE",""
"Basic Networking","Networking","N10-009_Q035","Which of the following attacks would most likely cause duplicate IP addresses in a network?","Social engineering","FALSE",""
"Basic Networking","Networking","N10-009_Q035","Which of the following attacks would most likely cause duplicate IP addresses in a network?","Denial-of-service","FALSE",""
"Basic Networking","Networking","N10-009_Q036","A network administrator is deploying a new switch and wants to make sure that the default priority value was set for a spanning tree. Which of the following values would the network administrator expect to see?","4096","FALSE",""
"Basic Networking","Networking","N10-009_Q036","A network administrator is deploying a new switch and wants to make sure that the default priority value was set for a spanning tree. Which of the following values would the network administrator expect to see?","8192","FALSE",""
"Basic Networking","Networking","N10-009_Q036","A network administrator is deploying a new switch and wants to make sure that the default priority value was set for a spanning tree. Which of the following values would the network administrator expect to see?","32768","TRUE",""
"Basic Networking","Networking","N10-009_Q036","A network administrator is deploying a new switch and wants to make sure that the default priority value was set for a spanning tree. Which of the following values would the network administrator expect to see?","36684","FALSE",""
"Basic Networking","Networking","N10-009_Q037","Which of the following steps of the troubleshooting methodology should a technician take to confirm a theory?","Duplicate the problem.","TRUE",""
"Basic Networking","Networking","N10-009_Q037","Which of the following steps of the troubleshooting methodology should a technician take to confirm a theory?","Identify the symptoms.","FALSE",""
"Basic Networking","Networking","N10-009_Q037","Which of the following steps of the troubleshooting methodology should a technician take to confirm a theory?","Gather information.","FALSE",""
"Basic Networking","Networking","N10-009_Q037","Which of the following steps of the troubleshooting methodology should a technician take to confirm a theory?","Determine any changes.","FALSE",""
"Basic Networking","Networking","N10-009_Q038","Early in the morning an administrator installs a new DHCP server. In the afternoon some users report they are experiencing network outages. Which of the following is the most likely issue?","The administrator did not provisionenough IP addresses.","TRUE",""
"Basic Networking","Networking","N10-009_Q038","Early in the morning an administrator installs a new DHCP server. In the afternoon some users report they are experiencing network outages. Which of the following is the most likely issue?","The administrator configured an incorrect default gateway.","FALSE",""
"Basic Networking","Networking","N10-009_Q038","Early in the morning an administrator installs a new DHCP server. In the afternoon some users report they are experiencing network outages. Which of the following is the most likely issue?","The administrator did not provisionenough routes.","FALSE",""
"Basic Networking","Networking","N10-009_Q038","Early in the morning an administrator installs a new DHCP server. In the afternoon some users report they are experiencing network outages. Which of the following is the most likely issue?","The administrator did not provisionenough MAC addresses.","FALSE",""
"Basic Networking","Networking","N10-009_Q039","Which of the following network topologies contains a direct connection between every node in the network?","Mesh","TRUE",""
"Basic Networking","Networking","N10-009_Q039","Which of the following network topologies contains a direct connection between every node in the network?","Hub-and-spoke","FALSE",""
"Basic Networking","Networking","N10-009_Q039","Which of the following network topologies contains a direct connection between every node in the network?","Star","FALSE",""
"Basic Networking","Networking","N10-009_Q039","Which of the following network topologies contains a direct connection between every node in the network?","Point-to-point","FALSE",""
"Basic Networking","Networking","N10-009_Q040","A company receives a cease-and-desist order from its ISP regarding prohibited torrent activity. Which of the following should be implemented to comply with the cease-and-desist order?","MAC security","FALSE",""
"Basic Networking","Networking","N10-009_Q040","A company receives a cease-and-desist order from its ISP regarding prohibited torrent activity. Which of the following should be implemented to comply with the cease-and-desist order?","Content filtering","TRUE",""
"Basic Networking","Networking","N10-009_Q040","A company receives a cease-and-desist order from its ISP regarding prohibited torrent activity. Which of the following should be implemented to comply with the cease-and-desist order?","Screened subnet","FALSE",""
